id,model_type,model_family,model_name,ckpt_file,url,autoencoder,clip_encoder,image_encoder,t5_encoder,full_json
306,uncurated_model,flux1,Colossus_Project_Flux_v20All_In_One_Exp,971579_colossusprojectflux_v20allinoneexp_q8p.ckpt,"",flux_1_vae_f16.ckpt,clip_vit_l14_f16.ckpt,"","","{""autoencoder"":""flux_1_vae_f16.ckpt"",""clip_encoder"":""clip_vit_l14_f16.ckpt"",""converted"":{""971579_colossusprojectflux_v20allinoneexp_q8p.ckpt"":""9da403a2d9705222e1616299f79fdf70aaf8fbffadf4575171028e94501fddda""},""default_scale"":16,""file"":""971579_colossusprojectflux_v20allinoneexp_q8p.ckpt"",""guidance_embed"":true,""high_precision_autoencoder"":true,""hires_fix_scale"":24,""modifier"":""none"",""name"":""Colossus_Project_Flux_v20All_In_One_Exp"",""noise_discretization"":{""rf"":{""_0"":{""condition_scale"":1000,""sigma_max"":1,""sigma_min"":0}}},""objective"":{""u"":{""condition_scale"":1000}},""prefix"":"""",""text_encoder"":""t5_xxl_encoder_q6p.ckpt"",""upcast_attention"":false,""version"":""flux1""}"
307,uncurated_model,flux1,Colossus_Project_Flux_v42AIO,1159932_colossusprojectflux_v42aio_q8p.ckpt,"",flux_1_vae_f16.ckpt,clip_vit_l14_f16.ckpt,"","","{""autoencoder"":""flux_1_vae_f16.ckpt"",""clip_encoder"":""clip_vit_l14_f16.ckpt"",""converted"":{""1159932_colossusprojectflux_v42aio_q8p.ckpt"":""c8f4d8fe0786113bfd1423bee89560666a45c112cc44a963ae13aa073861ae4d""},""default_scale"":16,""file"":""1159932_colossusprojectflux_v42aio_q8p.ckpt"",""guidance_embed"":true,""high_precision_autoencoder"":true,""hires_fix_scale"":24,""modifier"":""none"",""name"":""Colossus_Project_Flux_v42AIO"",""noise_discretization"":{""rf"":{""_0"":{""condition_scale"":1000,""sigma_max"":1,""sigma_min"":0}}},""objective"":{""u"":{""condition_scale"":1000}},""prefix"":"""",""text_encoder"":""t5_xxl_encoder_q6p.ckpt"",""upcast_attention"":false,""version"":""flux1""}"
308,uncurated_model,flux1,Colossus_Project_Flux_v44AIO,1495910_colossusprojectflux_v44aio_q8p.ckpt,"",flux_1_vae_f16.ckpt,clip_vit_l14_f16.ckpt,"","","{""autoencoder"":""flux_1_vae_f16.ckpt"",""clip_encoder"":""clip_vit_l14_f16.ckpt"",""converted"":{""1495910_colossusprojectflux_v44aio_q8p.ckpt"":""17e75d3a751c97629c4143894d99c8241640825f1d24410ba2465b1fb1b7bc56""},""default_scale"":16,""file"":""1495910_colossusprojectflux_v44aio_q8p.ckpt"",""guidance_embed"":true,""high_precision_autoencoder"":true,""hires_fix_scale"":24,""modifier"":""none"",""name"":""Colossus_Project_Flux_v44AIO"",""noise_discretization"":{""rf"":{""_0"":{""condition_scale"":1000,""sigma_max"":1,""sigma_min"":0}}},""objective"":{""u"":{""condition_scale"":1000}},""prefix"":"""",""text_encoder"":""t5_xxl_encoder_q6p.ckpt"",""upcast_attention"":false,""version"":""flux1""}"
309,uncurated_model,flux1,Colossus_Project_Flux_v50AIO,1443922_colossusprojectflux_v50aio_q8p.ckpt,"",flux_1_vae_f16.ckpt,clip_vit_l14_f16.ckpt,"","","{""autoencoder"":""flux_1_vae_f16.ckpt"",""clip_encoder"":""clip_vit_l14_f16.ckpt"",""converted"":{""1443922_colossusprojectflux_v50aio_q8p.ckpt"":""1fb2f94ab2c5e2d14d6f83ef34f881847cde492b24777f4ae3a6fb60c3122398""},""default_scale"":16,""file"":""1443922_colossusprojectflux_v50aio_q8p.ckpt"",""guidance_embed"":true,""high_precision_autoencoder"":true,""hires_fix_scale"":24,""modifier"":""none"",""name"":""Colossus_Project_Flux_v50AIO"",""noise_discretization"":{""rf"":{""_0"":{""condition_scale"":1000,""sigma_max"":1,""sigma_min"":0}}},""objective"":{""u"":{""condition_scale"":1000}},""prefix"":"""",""text_encoder"":""t5_xxl_encoder_q6p.ckpt"",""upcast_attention"":false,""version"":""flux1""}"
310,uncurated_model,flux1,Colossus_Project_Flux_v50AIOBehemoth,1507835_colossusprojectflux_v50aiobehemoth_q8p.ckpt,"",flux_1_vae_f16.ckpt,clip_vit_l14_f16.ckpt,"","","{""autoencoder"":""flux_1_vae_f16.ckpt"",""clip_encoder"":""clip_vit_l14_f16.ckpt"",""converted"":{""1507835_colossusprojectflux_v50aiobehemoth_q8p.ckpt"":""b2476556dbb2e755f4df29a297a9f3c9fc98771f41a5411ae7b36dba38f2b3bc""},""default_scale"":16,""file"":""1507835_colossusprojectflux_v50aiobehemoth_q8p.ckpt"",""guidance_embed"":true,""high_precision_autoencoder"":true,""hires_fix_scale"":24,""modifier"":""none"",""name"":""Colossus_Project_Flux_v50AIOBehemoth"",""noise_discretization"":{""rf"":{""_0"":{""condition_scale"":1000,""sigma_max"":1,""sigma_min"":0}}},""objective"":{""u"":{""condition_scale"":1000}},""prefix"":"""",""text_encoder"":""t5_xxl_encoder_q6p.ckpt"",""upcast_attention"":false,""version"":""flux1""}"
311,uncurated_model,flux1,Colossus_Project_Flux_v50FP8UNET,1462430_colossusprojectflux_v50fp8unet_q8p.ckpt,"",flux_1_vae_f16.ckpt,clip_vit_l14_f16.ckpt,"","","{""autoencoder"":""flux_1_vae_f16.ckpt"",""clip_encoder"":""clip_vit_l14_f16.ckpt"",""converted"":{""1462430_colossusprojectflux_v50fp8unet_q8p.ckpt"":""810c8722ef02a74fefed4c12f27e414d9303b9a07506d232715c9aa7ee9bac93""},""default_scale"":16,""file"":""1462430_colossusprojectflux_v50fp8unet_q8p.ckpt"",""guidance_embed"":true,""high_precision_autoencoder"":true,""hires_fix_scale"":24,""modifier"":""none"",""name"":""Colossus_Project_Flux_v50FP8UNET"",""noise_discretization"":{""rf"":{""_0"":{""condition_scale"":1000,""sigma_max"":1,""sigma_min"":0}}},""objective"":{""u"":{""condition_scale"":1000}},""prefix"":"""",""text_encoder"":""t5_xxl_encoder_q6p.ckpt"",""upcast_attention"":false,""version"":""flux1""}"
312,uncurated_model,flux1,Colossus_Project_Flux_v90AIO,1703060_colossusprojectflux_v90aio_q8p.ckpt,"",flux_1_vae_f16.ckpt,clip_vit_l14_f16.ckpt,"","","{""autoencoder"":""flux_1_vae_f16.ckpt"",""clip_encoder"":""clip_vit_l14_f16.ckpt"",""converted"":{""1703060_colossusprojectflux_v90aio_q8p.ckpt"":""7b931cccbec66b783dbb6b915ec9055723ab6a0dd52e85264ecd7cca12800f7a""},""default_scale"":16,""file"":""1703060_colossusprojectflux_v90aio_q8p.ckpt"",""guidance_embed"":true,""high_precision_autoencoder"":true,""hires_fix_scale"":24,""modifier"":""none"",""name"":""Colossus_Project_Flux_v90AIO"",""noise_discretization"":{""rf"":{""_0"":{""condition_scale"":1000,""sigma_max"":1,""sigma_min"":0}}},""objective"":{""u"":{""condition_scale"":1000}},""prefix"":"""",""text_encoder"":""t5_xxl_encoder_q6p.ckpt"",""upcast_attention"":false,""version"":""flux1""}"
313,uncurated_model,sdxl_base_v0.9,Copax-Pony-XL,copax_pony_xl_f16.ckpt,"",sdxl_vae_v1.0_f16.ckpt,copax_pony_xl_clip_vit_l14_f16.ckpt,"","","{""file"":""copax_pony_xl_f16.ckpt"",""name"":""Copax-Pony-XL"",""autoencoder"":""sdxl_vae_v1.0_f16.ckpt"",""clip_encoder"":""copax_pony_xl_clip_vit_l14_f16.ckpt"",""version"":""sdxl_base_v0.9"",""modifier"":""none"",""default_scale"":16,""prefix"":"""",""upcast_attention"":false,""text_encoder"":""copax_pony_xl_open_clip_vit_bigg14_f16.ckpt"",""converted"":{""copax_pony_xl_clip_vit_l14_f16.ckpt"":""ca4a15756bd6a1efe3724a0c7c2adda97bdcf1f2c12bdca5104f85633a07bf26"",""copax_pony_xl_open_clip_vit_bigg14_f16.ckpt"":""6d4a358069346784af4a5ec0c635d7ac48af539cad424e29d7087a855a928410"",""copax_pony_xl_f16.ckpt"":""9f42393f490a9757cd48d3bce615e680be80eebee1e36c9b5b8419a7926e33db""}}"
314,uncurated_model,flux1,Copax_Timeless_fluxreal_Fast,1045901_copaxtimeless_fluxrealfast_q8p.ckpt,"",flux_1_vae_f16.ckpt,clip_vit_l14_f16.ckpt,"","","{""autoencoder"":""flux_1_vae_f16.ckpt"",""clip_encoder"":""clip_vit_l14_f16.ckpt"",""converted"":{""1045901_copaxtimeless_fluxrealfast_q8p.ckpt"":""d447b09c780b3fe5ed0d135a05541d232213685ffa9dab9e752ea0a97609c417""},""default_scale"":16,""file"":""1045901_copaxtimeless_fluxrealfast_q8p.ckpt"",""high_precision_autoencoder"":true,""hires_fix_scale"":24,""modifier"":""none"",""name"":""Copax_Timeless_fluxreal_Fast"",""noise_discretization"":{""rf"":{""_0"":{""condition_scale"":1000,""sigma_max"":1,""sigma_min"":0}}},""objective"":{""u"":{""condition_scale"":1000}},""prefix"":"""",""text_encoder"":""t5_xxl_encoder_q6p.ckpt"",""upcast_attention"":false,""version"":""flux1""}"
315,uncurated_model,flux1,Copax_Timeless_stylemix1Flux_Dev_FP16,894590_copaxtimeless_stylemix1fluxdevfp16_q8p.ckpt,"",flux_1_vae_f16.ckpt,clip_vit_l14_f16.ckpt,"","","{""autoencoder"":""flux_1_vae_f16.ckpt"",""clip_encoder"":""clip_vit_l14_f16.ckpt"",""converted"":{""894590_copaxtimeless_stylemix1fluxdevfp16_q8p.ckpt"":""6c3e5e6adb54de4e008df94f525dab0583e9f389c7eddd9d9057d8b9dfaaa136""},""default_scale"":16,""file"":""894590_copaxtimeless_stylemix1fluxdevfp16_q8p.ckpt"",""guidance_embed"":true,""high_precision_autoencoder"":true,""hires_fix_scale"":24,""modifier"":""none"",""name"":""Copax_Timeless_stylemix1Flux_Dev_FP16"",""noise_discretization"":{""rf"":{""_0"":{""condition_scale"":1000,""sigma_max"":1,""sigma_min"":0}}},""objective"":{""u"":{""condition_scale"":1000}},""prefix"":"""",""text_encoder"":""t5_xxl_encoder_q6p.ckpt"",""upcast_attention"":false,""version"":""flux1""}"
316,uncurated_model,flux1,Copax_Timeless_stylemix1Fp8,897535_copaxtimeless_stylemix1fp8_q8p.ckpt,"",flux_1_vae_f16.ckpt,clip_vit_l14_f16.ckpt,"","","{""autoencoder"":""flux_1_vae_f16.ckpt"",""clip_encoder"":""clip_vit_l14_f16.ckpt"",""converted"":{""897535_copaxtimeless_stylemix1fp8_q8p.ckpt"":""adf333386edab20bb4791602d162963e126e2e636bfc31e2b25ef515f5fd9288""},""default_scale"":16,""file"":""897535_copaxtimeless_stylemix1fp8_q8p.ckpt"",""guidance_embed"":true,""high_precision_autoencoder"":true,""hires_fix_scale"":24,""modifier"":""none"",""name"":""Copax_Timeless_stylemix1Fp8"",""noise_discretization"":{""rf"":{""_0"":{""condition_scale"":1000,""sigma_max"":1,""sigma_min"":0}}},""objective"":{""u"":{""condition_scale"":1000}},""prefix"":"""",""text_encoder"":""t5_xxl_encoder_q6p.ckpt"",""upcast_attention"":false,""version"":""flux1""}"
317,uncurated_model,flux1,Copax_Timeless_stylemix2,975743_copaxtimeless_stylemix2_q8p.ckpt,"",flux_1_vae_f16.ckpt,clip_vit_l14_f16.ckpt,"","","{""autoencoder"":""flux_1_vae_f16.ckpt"",""clip_encoder"":""clip_vit_l14_f16.ckpt"",""converted"":{""975743_copaxtimeless_stylemix2_q8p.ckpt"":""5d31e7fb8b945f3101053ddbee77417810831713f48828771a4368c229858c7a""},""default_scale"":16,""file"":""975743_copaxtimeless_stylemix2_q8p.ckpt"",""guidance_embed"":true,""high_precision_autoencoder"":true,""hires_fix_scale"":24,""modifier"":""none"",""name"":""Copax_Timeless_stylemix2"",""noise_discretization"":{""rf"":{""_0"":{""condition_scale"":1000,""sigma_max"":1,""sigma_min"":0}}},""objective"":{""u"":{""condition_scale"":1000}},""prefix"":"""",""text_encoder"":""t5_xxl_encoder_q6p.ckpt"",""upcast_attention"":false,""version"":""flux1""}"
318,uncurated_model,flux1,Copax_Timeless_xplus1,778112_copaxtimeless_xplus1_q8p.ckpt,"",flux_1_vae_f16.ckpt,clip_vit_l14_f16.ckpt,"","","{""autoencoder"":""flux_1_vae_f16.ckpt"",""clip_encoder"":""clip_vit_l14_f16.ckpt"",""converted"":{""778112_copaxtimeless_xplus1_q8p.ckpt"":""ea037703809c2eac24c3eafb0f1d2dacc50108c1edf4cec88aabd745c0ebb9fc""},""default_scale"":16,""file"":""778112_copaxtimeless_xplus1_q8p.ckpt"",""guidance_embed"":true,""high_precision_autoencoder"":true,""hires_fix_scale"":24,""modifier"":""none"",""name"":""Copax_Timeless_xplus1"",""noise_discretization"":{""rf"":{""_0"":{""condition_scale"":1000,""sigma_max"":1,""sigma_min"":0}}},""objective"":{""u"":{""condition_scale"":1000}},""prefix"":"""",""text_encoder"":""t5_xxl_encoder_q6p.ckpt"",""upcast_attention"":false,""version"":""flux1""}"
319,uncurated_model,flux1,Copax_Timeless_xplus2,907183_copaxtimeless_xplus2_q8p.ckpt,"",flux_1_vae_f16.ckpt,clip_vit_l14_f16.ckpt,"","","{""autoencoder"":""flux_1_vae_f16.ckpt"",""clip_encoder"":""clip_vit_l14_f16.ckpt"",""converted"":{""907183_copaxtimeless_xplus2_q8p.ckpt"":""1b9c580feede2db2b1931393e5442024a18802dc0d441ef1c2513969ef2ecd65""},""default_scale"":16,""file"":""907183_copaxtimeless_xplus2_q8p.ckpt"",""guidance_embed"":true,""high_precision_autoencoder"":true,""hires_fix_scale"":24,""modifier"":""none"",""name"":""Copax_Timeless_xplus2"",""noise_discretization"":{""rf"":{""_0"":{""condition_scale"":1000,""sigma_max"":1,""sigma_min"":0}}},""objective"":{""u"":{""condition_scale"":1000}},""prefix"":"""",""text_encoder"":""t5_xxl_encoder_q6p.ckpt"",""upcast_attention"":false,""version"":""flux1""}"
320,uncurated_model,flux1,Copax_Timeless_xplus2Base_Train,1085190_copaxtimeless_xplus2basetrain_q8p.ckpt,"",flux_1_vae_f16.ckpt,clip_vit_l14_f16.ckpt,"","","{""autoencoder"":""flux_1_vae_f16.ckpt"",""clip_encoder"":""clip_vit_l14_f16.ckpt"",""converted"":{""1085190_copaxtimeless_xplus2basetrain_q8p.ckpt"":""8361b789387889aafde98f4cbc041c3643032c89c167e76ad8301c9bc43691c4""},""default_scale"":16,""file"":""1085190_copaxtimeless_xplus2basetrain_q8p.ckpt"",""guidance_embed"":true,""high_precision_autoencoder"":true,""hires_fix_scale"":24,""modifier"":""none"",""name"":""Copax_Timeless_xplus2Base_Train"",""noise_discretization"":{""rf"":{""_0"":{""condition_scale"":1000,""sigma_max"":1,""sigma_min"":0}}},""objective"":{""u"":{""condition_scale"":1000}},""prefix"":"""",""text_encoder"":""t5_xxl_encoder_q6p.ckpt"",""upcast_attention"":false,""version"":""flux1""}"
321,uncurated_model,flux1,Copax_Timeless_xplus_Cartoon,1338565_copaxtimeless_xpluscartoon_q8p.ckpt,"",flux_1_vae_f16.ckpt,clip_vit_l14_f16.ckpt,"","","{""autoencoder"":""flux_1_vae_f16.ckpt"",""clip_encoder"":""clip_vit_l14_f16.ckpt"",""converted"":{""1338565_copaxtimeless_xpluscartoon_q8p.ckpt"":""48c1c6c2d1b291bb831da0aea8204198aa8304768f03e081666369eed127ebb8""},""default_scale"":16,""file"":""1338565_copaxtimeless_xpluscartoon_q8p.ckpt"",""guidance_embed"":true,""high_precision_autoencoder"":true,""hires_fix_scale"":24,""modifier"":""none"",""name"":""Copax_Timeless_xplus_Cartoon"",""noise_discretization"":{""rf"":{""_0"":{""condition_scale"":1000,""sigma_max"":1,""sigma_min"":0}}},""objective"":{""u"":{""condition_scale"":1000}},""prefix"":"""",""text_encoder"":""t5_xxl_encoder_q6p.ckpt"",""upcast_attention"":false,""version"":""flux1""}"
322,uncurated_model,flux1,Copax_Timeless_xplus_MIX1,954640_copaxtimeless_xplusmix1_q8p.ckpt,"",flux_1_vae_f16.ckpt,clip_vit_l14_f16.ckpt,"","","{""autoencoder"":""flux_1_vae_f16.ckpt"",""clip_encoder"":""clip_vit_l14_f16.ckpt"",""converted"":{""954640_copaxtimeless_xplusmix1_q8p.ckpt"":""db69f62188b30931aa7f5b40b42c31a89d512644ddd3da2d48fc457622ec18c0""},""default_scale"":16,""file"":""954640_copaxtimeless_xplusmix1_q8p.ckpt"",""guidance_embed"":true,""high_precision_autoencoder"":true,""hires_fix_scale"":24,""modifier"":""none"",""name"":""Copax_Timeless_xplus_MIX1"",""noise_discretization"":{""rf"":{""_0"":{""condition_scale"":1000,""sigma_max"":1,""sigma_min"":0}}},""objective"":{""u"":{""condition_scale"":1000}},""prefix"":"""",""text_encoder"":""t5_xxl_encoder_q6p.ckpt"",""upcast_attention"":false,""version"":""flux1""}"
323,uncurated_model,flux1,Copax_Timeless_xplus_MIX1FP8,962412_copaxtimeless_xplusmix1fp8_q8p.ckpt,"",flux_1_vae_f16.ckpt,clip_vit_l14_f16.ckpt,"","","{""autoencoder"":""flux_1_vae_f16.ckpt"",""clip_encoder"":""clip_vit_l14_f16.ckpt"",""converted"":{""962412_copaxtimeless_xplusmix1fp8_q8p.ckpt"":""2805025a0b583d1b057ac915c73715297aba440fa18ce09e8f5a29b3e1ca92a0""},""default_scale"":16,""file"":""962412_copaxtimeless_xplusmix1fp8_q8p.ckpt"",""guidance_embed"":true,""high_precision_autoencoder"":true,""hires_fix_scale"":24,""modifier"":""none"",""name"":""Copax_Timeless_xplus_MIX1FP8"",""noise_discretization"":{""rf"":{""_0"":{""condition_scale"":1000,""sigma_max"":1,""sigma_min"":0}}},""objective"":{""u"":{""condition_scale"":1000}},""prefix"":"""",""text_encoder"":""t5_xxl_encoder_q6p.ckpt"",""upcast_attention"":false,""version"":""flux1""}"
324,uncurated_model,flux1,Copax_Timeless_xplus_MIX2,982160_copaxtimeless_xplusmix2_q8p.ckpt,"",flux_1_vae_f16.ckpt,clip_vit_l14_f16.ckpt,"","","{""autoencoder"":""flux_1_vae_f16.ckpt"",""clip_encoder"":""clip_vit_l14_f16.ckpt"",""converted"":{""982160_copaxtimeless_xplusmix2_q8p.ckpt"":""dd0885898695ca75ce9b9cbb61c25a737787e35fa807651cc3747ed41aa30667""},""default_scale"":16,""file"":""982160_copaxtimeless_xplusmix2_q8p.ckpt"",""guidance_embed"":true,""high_precision_autoencoder"":true,""hires_fix_scale"":24,""modifier"":""none"",""name"":""Copax_Timeless_xplus_MIX2"",""noise_discretization"":{""rf"":{""_0"":{""condition_scale"":1000,""sigma_max"":1,""sigma_min"":0}}},""objective"":{""u"":{""condition_scale"":1000}},""prefix"":"""",""text_encoder"":""t5_xxl_encoder_q6p.ckpt"",""upcast_attention"":false,""version"":""flux1""}"
325,uncurated_model,flux1,Copax_Timeless_xplus_MIX3,1134093_copaxtimeless_xplusmix3_q8p.ckpt,"",flux_1_vae_f16.ckpt,clip_vit_l14_f16.ckpt,"","","{""autoencoder"":""flux_1_vae_f16.ckpt"",""clip_encoder"":""clip_vit_l14_f16.ckpt"",""converted"":{""1134093_copaxtimeless_xplusmix3_q8p.ckpt"":""5f5e99bc369c4fea1ed57a119da5f6519051bb996b76fe9b563450bb120f3171""},""default_scale"":16,""file"":""1134093_copaxtimeless_xplusmix3_q8p.ckpt"",""guidance_embed"":true,""high_precision_autoencoder"":true,""hires_fix_scale"":24,""modifier"":""none"",""name"":""Copax_Timeless_xplus_MIX3"",""noise_discretization"":{""rf"":{""_0"":{""condition_scale"":1000,""sigma_max"":1,""sigma_min"":0}}},""objective"":{""u"":{""condition_scale"":1000}},""prefix"":"""",""text_encoder"":""t5_xxl_encoder_q6p.ckpt"",""upcast_attention"":false,""version"":""flux1""}"
326,uncurated_model,flux1,Copax_Timeless_xplus_MIX3Dark,1148473_copaxtimeless_xplusmix3dark_q8p.ckpt,"",flux_1_vae_f16.ckpt,clip_vit_l14_f16.ckpt,"","","{""autoencoder"":""flux_1_vae_f16.ckpt"",""clip_encoder"":""clip_vit_l14_f16.ckpt"",""converted"":{""1148473_copaxtimeless_xplusmix3dark_q8p.ckpt"":""822d706ca701db37148a2afb9de1e0585d4fddb7319aa6eaccbadd5632a4f4a4""},""default_scale"":16,""file"":""1148473_copaxtimeless_xplusmix3dark_q8p.ckpt"",""guidance_embed"":true,""high_precision_autoencoder"":true,""hires_fix_scale"":24,""modifier"":""none"",""name"":""Copax_Timeless_xplus_MIX3Dark"",""noise_discretization"":{""rf"":{""_0"":{""condition_scale"":1000,""sigma_max"":1,""sigma_min"":0}}},""objective"":{""u"":{""condition_scale"":1000}},""prefix"":"""",""text_encoder"":""t5_xxl_encoder_q6p.ckpt"",""upcast_attention"":false,""version"":""flux1""}"
327,uncurated_model,flux1,Copax_Timeless_xplus_MIX4,1217501_copaxtimeless_xplusmix4_q8p.ckpt,"",flux_1_vae_f16.ckpt,clip_vit_l14_f16.ckpt,"","","{""autoencoder"":""flux_1_vae_f16.ckpt"",""clip_encoder"":""clip_vit_l14_f16.ckpt"",""converted"":{""1217501_copaxtimeless_xplusmix4_q8p.ckpt"":""04d699f4f7757321118b566e39b3ce369934417979fec372a919ffcb2c1be5fc""},""default_scale"":16,""file"":""1217501_copaxtimeless_xplusmix4_q8p.ckpt"",""guidance_embed"":true,""high_precision_autoencoder"":true,""hires_fix_scale"":24,""modifier"":""none"",""name"":""Copax_Timeless_xplus_MIX4"",""noise_discretization"":{""rf"":{""_0"":{""condition_scale"":1000,""sigma_max"":1,""sigma_min"":0}}},""objective"":{""u"":{""condition_scale"":1000}},""prefix"":"""",""text_encoder"":""t5_xxl_encoder_q6p.ckpt"",""upcast_attention"":false,""version"":""flux1""}"
328,uncurated_model,flux1,Copax_Timeless_xplus_Poses,801556_copaxtimeless_xplusposes_q8p.ckpt,"",flux_1_vae_f16.ckpt,clip_vit_l14_f16.ckpt,"","","{""autoencoder"":""flux_1_vae_f16.ckpt"",""clip_encoder"":""clip_vit_l14_f16.ckpt"",""converted"":{""801556_copaxtimeless_xplusposes_q8p.ckpt"":""8c20b845578c96f146e82a0d27f34837cd9bb0d472720d6dd8446edb1d265f91""},""default_scale"":16,""file"":""801556_copaxtimeless_xplusposes_q8p.ckpt"",""guidance_embed"":true,""high_precision_autoencoder"":true,""hires_fix_scale"":24,""modifier"":""none"",""name"":""Copax_Timeless_xplus_Poses"",""noise_discretization"":{""rf"":{""_0"":{""condition_scale"":1000,""sigma_max"":1,""sigma_min"":0}}},""objective"":{""u"":{""condition_scale"":1000}},""prefix"":"""",""text_encoder"":""t5_xxl_encoder_q6p.ckpt"",""upcast_attention"":false,""version"":""flux1""}"
329,uncurated_model,flux1,Copax_Timeless_xplus_Unreal_Fast,783956_copaxtimeless_xplusunrealfast_q8p.ckpt,"",flux_1_vae_f16.ckpt,clip_vit_l14_f16.ckpt,"","","{""autoencoder"":""flux_1_vae_f16.ckpt"",""clip_encoder"":""clip_vit_l14_f16.ckpt"",""converted"":{""783956_copaxtimeless_xplusunrealfast_q8p.ckpt"":""1482003c5c82106cd111a592c3ebf88e1b36cc929432cf56cd293147eab710c2""},""default_scale"":16,""file"":""783956_copaxtimeless_xplusunrealfast_q8p.ckpt"",""high_precision_autoencoder"":true,""hires_fix_scale"":24,""modifier"":""none"",""name"":""Copax_Timeless_xplus_Unreal_Fast"",""noise_discretization"":{""rf"":{""_0"":{""condition_scale"":1000,""sigma_max"":1,""sigma_min"":0}}},""objective"":{""u"":{""condition_scale"":1000}},""prefix"":"""",""text_encoder"":""t5_xxl_encoder_q6p.ckpt"",""upcast_attention"":false,""version"":""flux1""}"
330,uncurated_model,sdxl_base_v0.9,Crow-Pony-qp,crow___pony_qp_f16.ckpt,"",sdxl_vae_v1.0_f16.ckpt,crow___pony_qp_clip_vit_l14_f16.ckpt,"","","{""text_encoder"":""crow___pony_qp_open_clip_vit_bigg14_f16.ckpt"",""clip_encoder"":""crow___pony_qp_clip_vit_l14_f16.ckpt"",""modifier"":""none"",""name"":""Crow-Pony-qp"",""version"":""sdxl_base_v0.9"",""upcast_attention"":false,""autoencoder"":""sdxl_vae_v1.0_f16.ckpt"",""prefix"":"""",""default_scale"":16,""file"":""crow___pony_qp_f16.ckpt"",""converted"":{""crow___pony_qp_clip_vit_l14_f16.ckpt"":""0d9873e16d589d51d967f3759e3d59b5b028994a4c60b763ddae14af8c3c1d15"",""crow___pony_qp_open_clip_vit_bigg14_f16.ckpt"":""79784b3f1b119b5068978ffc5d52d533e301ef7cdf43df90255b863f01aa6404"",""crow___pony_qp_f16.ckpt"":""8c3eea5f1e00a74aee879d70d0a610e8c5ec19166a6e3026ff67f320eec26218""}}"
331,uncurated_model,sdxl_base_v0.9,CyberIllustrious-CyberRealistic,cyberillustrious_cyberrealistic_f16.ckpt,"",sdxl_vae_v1.0_f16.ckpt,cyberillustrious_cyberrealistic_clip_vit_l14_f16.ckpt,"","","{""prefix"":"""",""text_encoder"":""cyberillustrious_cyberrealistic_open_clip_vit_bigg14_f16.ckpt"",""autoencoder"":""sdxl_vae_v1.0_f16.ckpt"",""version"":""sdxl_base_v0.9"",""modifier"":""none"",""clip_encoder"":""cyberillustrious_cyberrealistic_clip_vit_l14_f16.ckpt"",""upcast_attention"":false,""name"":""CyberIllustrious-CyberRealistic"",""file"":""cyberillustrious_cyberrealistic_f16.ckpt"",""default_scale"":16,""converted"":{""cyberillustrious_cyberrealistic_clip_vit_l14_f16.ckpt"":""044d364179d7d6c401aea2ca2ad479dce626533b1527155cc4e90e7cd374d2a6"",""cyberillustrious_cyberrealistic_open_clip_vit_bigg14_f16.ckpt"":""285232052e7ff77ca0a23b17856cbdfc4becb663b6f3b4b27c8b497ed4568fdb"",""cyberillustrious_cyberrealistic_f16.ckpt"":""3dd10c92d23d56e0960d33af3f2c066711e848c3a04ce453e82392a11d93a35c""}}"
332,uncurated_model,v1,CyberRealistic,cyberrealistic_f16.ckpt,"","","","","","{""default_scale"":8,""upcast_attention"":false,""prefix"":"""",""name"":""CyberRealistic"",""text_encoder"":""cyberrealistic_clip_vit_l14_f16.ckpt"",""version"":""v1"",""file"":""cyberrealistic_f16.ckpt"",""modifier"":""none"",""converted"":{""cyberrealistic_f16.ckpt"":""64c2b199a6bbf023c498cf57543bf0bc350a33420909e2a6b5f701a78e48248c"",""cyberrealistic_clip_vit_l14_f16.ckpt"":""309151613f0db873393739641620c408b9664adce458f5547addaa0b66b9478e""}}"
333,uncurated_model,sdxl_base_v0.9,CyberRealistic-Pony-Catalyst,cyberrealistic_pony_catalyst_f16.ckpt,"",sdxl_vae_v1.0_f16.ckpt,cyberrealistic_pony_catalyst_clip_vit_l14_f16.ckpt,"","","{""default_scale"":16,""version"":""sdxl_base_v0.9"",""name"":""CyberRealistic-Pony-Catalyst"",""file"":""cyberrealistic_pony_catalyst_f16.ckpt"",""autoencoder"":""sdxl_vae_v1.0_f16.ckpt"",""text_encoder"":""cyberrealistic_pony_catalyst_open_clip_vit_bigg14_f16.ckpt"",""modifier"":""none"",""upcast_attention"":false,""clip_encoder"":""cyberrealistic_pony_catalyst_clip_vit_l14_f16.ckpt"",""prefix"":"""",""converted"":{""cyberrealistic_pony_catalyst_open_clip_vit_bigg14_f16.ckpt"":""b78a8e692ee50ff9e6e60055eee26acbc225fd12922a278699997c09984198e5"",""cyberrealistic_pony_catalyst_f16.ckpt"":""a2ec078dfe84c0ed9eaa9a56f53b1c4c4345dd13eed8affb647f2e570b18bd7a"",""cyberrealistic_pony_catalyst_clip_vit_l14_f16.ckpt"":""9e04cad1258cd2d231179c7aae3dbbe1ef12de84eb7665e7d237900ac57ce078""}}"
